               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.094186,            0.084753,            0.080302,            0.057081,          0.00072086,          0.00016659,          3.8642e-05,            0.097608,            0.074231,            0.081739,           0.0094159,           0.0094159,           0.0094159
                  61,            0.094283,            0.090486,            0.083197,             0.34008,            0.001456,          0.00041798,           9.547e-05,            0.093719,            0.062151,            0.080257,            0.009406,            0.009406,            0.009406
                  62,            0.094112,            0.079124,            0.085899,              0.3548,           0.0064859,           0.0011334,          0.00040474,            0.093384,            0.060538,            0.080294,           0.0093961,           0.0093961,           0.0093961
                  63,            0.094503,            0.076728,            0.082799,             0.28701,           0.0058062,           0.0013906,          0.00044089,            0.093952,            0.062244,              0.0801,           0.0093862,           0.0093862,           0.0093862
                  64,             0.09489,            0.086964,            0.081435,             0.37217,            0.009875,           0.0021383,          0.00031052,             0.09279,            0.059154,            0.080155,           0.0093763,           0.0093763,           0.0093763
                  65,            0.094999,            0.085133,            0.080618,           0.0019813,            0.020284,           0.0020501,           0.0003564,             0.09405,            0.058594,            0.081327,           0.0093664,           0.0093664,           0.0093664
                  66,            0.093007,            0.078734,            0.083625,           0.0020061,            0.017358,           0.0017074,          0.00039356,            0.093159,             0.05937,            0.079857,           0.0093565,           0.0093565,           0.0093565
                  67,            0.093474,            0.083027,            0.080527,             0.29712,           0.0047989,          0.00085961,           0.0002567,            0.093194,            0.060323,             0.07954,           0.0093466,           0.0093466,           0.0093466
                  68,            0.093997,            0.081973,            0.082214,             0.24139,           0.0091672,          0.00072631,          0.00020746,            0.092842,            0.059288,            0.079463,           0.0093367,           0.0093367,           0.0093367
                  69,            0.094286,            0.084507,            0.081521,             0.17059,            0.010106,           0.0010877,          0.00027342,            0.094632,            0.061875,            0.079132,           0.0093268,           0.0093268,           0.0093268
                  70,            0.092984,            0.089398,            0.077561,            0.053201,            0.013105,           0.0014422,          0.00027991,            0.093371,            0.061361,            0.078443,           0.0093169,           0.0093169,           0.0093169
